id,id_mapper,chapter,kapitelbezeichnung,bezeichnung,finaler_beschluss,snomed_code,descriptor,equi_final,finales_konzept,equ_jens,equ_mareike,agreement,map,kapitel
88,83f,02-02-05-03-03,02 Allgemeinstatus,Chronischer Leberschaden,1 „ja“,243978007,Liver damage (disorder),Source concept is narrower and has a more specific meaning than the target concept,,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,TRUE,1,2
88,605,02-02-05-03-03,02 Allgemeinstatus,Chronischer Leberschaden,1 „ja“,243978007,Liver damage (disorder),Source concept is narrower and has a more specific meaning than the target concept,,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,TRUE,1,2
89,605,02-02-06,02 Allgemeinstatus,Dermatologisch-allergologische Erkrankung,-,95320005,Disorder of skin (disorder),Source concept is narrower and has a more specific meaning than the target concept,,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,TRUE,1,2
89,9f6,02-02-06,02 Allgemeinstatus,Dermatologisch-allergologische Erkrankung,-,422290000,Allergic disorder of skin (disorder),"Equivalence of meaning, but with synonymy.",1,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
89,83f,02-02-06,02 Allgemeinstatus,Dermatologisch-allergologische Erkrankung,-,422290000,Allergic disorder of skin (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
91,605,02-02-06-01-01,02 Allgemeinstatus,Kontaktekzem,1 „ja“,40275004,Contact dermatitis (disorder),"Equivalence of meaning, but with synonymy.",1,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
91,83f,02-02-06-01-01,02 Allgemeinstatus,Kontaktekzem,1 „ja“,40275004,Contact dermatitis (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
91,9f6,02-02-06-01-01,02 Allgemeinstatus,Kontaktekzem,1 „ja“,40275004,Contact dermatitis (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
92,605,02-02-07,02 Allgemeinstatus,Nierenerkrankungen,-,90708001,Kidney disease (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
92,83f,02-02-07,02 Allgemeinstatus,Nierenerkrankungen,-,90708001,Kidney disease (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
92,9f6,02-02-07,02 Allgemeinstatus,Nierenerkrankungen,-,90708001,Kidney disease (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
94,83f,02-02-07-01-01,02 Allgemeinstatus,Niereninsuffizienz,1 „ja“,723188008,Renal insufficiency (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
94,605,02-02-07-01-01,02 Allgemeinstatus,Niereninsuffizienz,1 „ja“,723188008,Renal insufficiency (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
94,9f6,02-02-07-01-01,02 Allgemeinstatus,Niereninsuffizienz,1 „ja“,723188008,Renal insufficiency (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
95,605,02-02-08,02 Allgemeinstatus,Rheumatologische und immunologische Erkrankung,-,no map,NA,No map is possible,,No map is possible,No map is possible,TRUE,1,2
95,83f,02-02-08,02 Allgemeinstatus,Rheumatologische und immunologische Erkrankung,-,396332003,Rheumatism (disorder),Source concept is broader and has a less specific meaning than the target concept,1,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
95,9f6,02-02-08,02 Allgemeinstatus,Rheumatologische und immunologische Erkrankung,-,396332003,Rheumatism (disorder),Source concept is broader and has a less specific meaning than the target concept,,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
97,83f,02-02-08-01-01,02 Allgemeinstatus,Rheumatoide Arthritis,1 „ja“,69896004,Rheumatoid arthritis (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
97,605,02-02-08-01-01,02 Allgemeinstatus,Rheumatoide Arthritis,1 „ja“,69896004,Rheumatoid arthritis (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
97,9f6,02-02-08-01-01,02 Allgemeinstatus,Rheumatoide Arthritis,1 „ja“,69896004,Rheumatoid arthritis (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
99,605,02-02-09,02 Allgemeinstatus,Psychische und Suchterkrankungen,-,74732009,Mental disorder (disorder),Source concept is broader and has a less specific meaning than the target concept,1,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
99,83f,02-02-09,02 Allgemeinstatus,Psychische und Suchterkrankungen,-,74732009,Mental disorder (disorder),Source concept is broader and has a less specific meaning than the target concept,,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
99,9f6,02-02-09,02 Allgemeinstatus,Psychische und Suchterkrankungen,-,32709003,Addiction (finding),Source concept is broader and has a less specific meaning than the target concept,,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
101,605,02-02-09-01-01,02 Allgemeinstatus,Depression,1 „ja“,35489007,Depressive disorder (disorder),"Equivalence of meaning, but with synonymy.",1,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
101,9f6,02-02-09-01-01,02 Allgemeinstatus,Depression,1 „ja“,35489007,Depressive disorder (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
101,83f,02-02-09-01-01,02 Allgemeinstatus,Depression,1 „ja“,35489007,Depressive disorder (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
102,605,02-02-09-02-02,02 Allgemeinstatus,Raucher,0 „Nichtraucher“,8392000,Non-smoker (finding),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
102,9f6,02-02-09-02-02,02 Allgemeinstatus,Raucher,0 „Nichtraucher“,8392000,Non-smoker (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
102,83f,02-02-09-02-02,02 Allgemeinstatus,Raucher,0 „Nichtraucher“,8392000,Non-smoker (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
103,83f,02-02-09-02-02,02 Allgemeinstatus,Raucher,1 „ja“,77176002,Smoker (finding),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
103,605,02-02-09-02-02,02 Allgemeinstatus,Raucher,1 „ja“,77176002,Smoker (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
103,9f6,02-02-09-02-02,02 Allgemeinstatus,Raucher,1 „ja“,77176002,Smoker (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
105,605,02-02-09-03-03,02 Allgemeinstatus,Ex-Raucher,1 „ja“,8517006,Ex-smoker (finding),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
105,83f,02-02-09-03-03,02 Allgemeinstatus,Ex-Raucher,1 „ja“,160617001,Stopped smoking (finding),No map is possible,,Source concept is narrower and has a more specific meaning than the target concept,"Equivalence of meaning, but with synonymy.",FALSE,1,2
105,9f6,02-02-09-03-03,02 Allgemeinstatus,Ex-Raucher,1 „ja“,8517006,Ex-smoker (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
107,605,02-02-09-04-04,02 Allgemeinstatus,Alkoholabusus,1 „ja“,15167005,Alcohol abuse (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
107,83f,02-02-09-04-04,02 Allgemeinstatus,Alkoholabusus,1 „ja“,7200002,Alcoholism (disorder),"Equivalence of meaning, but with synonymy.",,Source concept is narrower and has a more specific meaning than the target concept,"Equivalence of meaning, but with synonymy.",FALSE,1,2
107,9f6,02-02-09-04-04,02 Allgemeinstatus,Alkoholabusus,1 „ja“,15167005,Alcohol abuse (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
109,9f6,02-02-09-05-05,02 Allgemeinstatus,Andere Drogen,1 „ja“,26416006,Drug abuse (disorder),"Equivalence of meaning, but with synonymy.",1,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
109,605,02-02-09-05-05,02 Allgemeinstatus,Andere Drogen,1 „ja“,26416006,Drug abuse (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
109,83f,02-02-09-05-05,02 Allgemeinstatus,Andere Drogen,1 „ja“,26416006,Drug abuse (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",TRUE,1,2
111,83f,02-02-09-06-06,02 Allgemeinstatus,i. v. Drogenabusus,1 „ja“,no map,NA,No map is possible,1,No map is possible,No map is possible,TRUE,1,2
111,9f6,02-02-09-06-06,02 Allgemeinstatus,i. v. Drogenabusus,1 „ja“,162591001,Suspected drug abuse (situation),No map is possible,,No map is possible,No map is possible,TRUE,1,2
111,605,02-02-09-06-06,02 Allgemeinstatus,i. v. Drogenabusus,1 „ja“,162591001,Suspected drug abuse (situation),No map is possible,,No map is possible,No map is possible,TRUE,1,2
112,83f,02-02-09-06-06,02 Allgemeinstatus,i. v. Drogenabusus,2 „Z. n.“,371435006,History of drug abuse (situation),No map is possible,2,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,TRUE,1,2
112,9f6,02-02-09-06-06,02 Allgemeinstatus,i. v. Drogenabusus,2 „Z. n.“,371435006,History of drug abuse (situation),No map is possible,,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,TRUE,1,2
112,605,02-02-09-06-06,02 Allgemeinstatus,i. v. Drogenabusus,2 „Z. n.“,no map,NA,No map is possible,,No map is possible,No map is possible,TRUE,1,2
114,83f,02-02-10,02 Allgemeinstatus,Maligne Tumoren,1 „ja“,363346000,Malignant neoplastic disease (disorder),"Equivalence of meaning, but with synonymy.",1,"Equivalence of meaning, but with synonymy.",Source concept is narrower and has a more specific meaning than the target concept,FALSE,1,2
114,9f6,02-02-10,02 Allgemeinstatus,Maligne Tumoren,1 „ja“,363346000,Malignant neoplastic disease (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.",Source concept is narrower and has a more specific meaning than the target concept,FALSE,1,2
114,605,02-02-10,02 Allgemeinstatus,Maligne Tumoren,1 „ja“,372244006,Malignant melanoma (disorder),Source concept is broader and has a less specific meaning than the target concept,,Source concept is broader and has a less specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,FALSE,1,2
116,83f,02-02-11,02 Allgemeinstatus,Neurologische Erkrankungen,-,118940003,Disorder of nervous system (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
116,9f6,02-02-11,02 Allgemeinstatus,Neurologische Erkrankungen,-,118940003,Disorder of nervous system (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
116,605,02-02-11,02 Allgemeinstatus,Neurologische Erkrankungen,-,118940003,Disorder of nervous system (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
118,9f6,02-02-11-01-01,02 Allgemeinstatus,Multiple Sklerose,1 „ja“,24700007,Multiple sclerosis (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
118,83f,02-02-11-01-01,02 Allgemeinstatus,Multiple Sklerose,1 „ja“,24700007,Multiple sclerosis (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
118,605,02-02-11-01-01,02 Allgemeinstatus,Multiple Sklerose,1 „ja“,24700007,Multiple sclerosis (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
120,83f,02-02-11-02-02,02 Allgemeinstatus,Periphere Polyneuropathie,1 „ja“,42345000,Polyneuropathy (disorder),"Equivalence of meaning, but with synonymy.",1,"Equivalence of meaning, but with synonymy.",Source concept is narrower and has a more specific meaning than the target concept,FALSE,1,2
120,605,02-02-11-02-02,02 Allgemeinstatus,Periphere Polyneuropathie,1 „ja“,42345000,Polyneuropathy (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.",Source concept is narrower and has a more specific meaning than the target concept,FALSE,1,2
120,9f6,02-02-11-02-02,02 Allgemeinstatus,Periphere Polyneuropathie,1 „ja“,42345000,Polyneuropathy (disorder),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.",Source concept is narrower and has a more specific meaning than the target concept,FALSE,1,2
122,605,02-02-11-03-03,02 Allgemeinstatus,Morbus Parkinson,1 „ja“,49049000,Parkinson's disease (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
122,83f,02-02-11-03-03,02 Allgemeinstatus,Morbus Parkinson,1 „ja“,49049000,Parkinson's disease (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
122,9f6,02-02-11-03-03,02 Allgemeinstatus,Morbus Parkinson,1 „ja“,49049000,Parkinson's disease (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
125,605,02-02-12-01-01,02 Allgemeinstatus,Lipödem,1 „ja“,234102003,Lipedema (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
125,9f6,02-02-12-01-01,02 Allgemeinstatus,Lipödem,1 „ja“,234102003,Lipedema (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
125,83f,02-02-12-01-01,02 Allgemeinstatus,Lipödem,1 „ja“,234102003,Lipedema (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
129,9f6,02-02-12-02-02,02 Allgemeinstatus,Lymphödem,1 „ja“,234097001,Lymphedema (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
129,83f,02-02-12-02-02,02 Allgemeinstatus,Lymphödem,1 „ja“,234097001,Lymphedema (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
129,605,02-02-12-02-02,02 Allgemeinstatus,Lymphödem,1 „ja“,234097001,Lymphedema (disorder),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
134,83f,02-03,02 Allgemeinstatus,Schmerztherapie,Schmerztherapie,278414003,Pain management (procedure),"Equivalence of meaning, but with synonymy.",1,"Equivalence of meaning, but with synonymy.","Equivalence of meaning; lexical, as well as conceptual",FALSE,1,2
134,9f6,02-03,02 Allgemeinstatus,Schmerztherapie,Schmerztherapie,278414003,Pain management (procedure),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning, but with synonymy.","Equivalence of meaning; lexical, as well as conceptual",FALSE,1,2
134,605,02-03,02 Allgemeinstatus,Schmerztherapie,Schmerztherapie,no map,NA,No map is possible,,No map is possible,No map is possible,TRUE,1,2
136,9f6,02-03-01,02 Allgemeinstatus,Schmerztherapie (WHO I),1 „ja“,373216001,Non-opioid analgesic (substance),No map is possible,2,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
136,83f,02-03-01,02 Allgemeinstatus,Schmerztherapie (WHO I),1 „ja“,373216001,Non-opioid analgesic (substance),Source concept is broader and has a less specific meaning than the target concept,,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
136,605,02-03-01,02 Allgemeinstatus,Schmerztherapie (WHO I),1 „ja“,no map,NA,No map is possible,,No map is possible,No map is possible,TRUE,1,2
138,83f,02-03-02,02 Allgemeinstatus,Schmerztherapie (WHO II),1 „ja“,373562008,Tilidine (substance),No map is possible,2,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
138,9f6,02-03-02,02 Allgemeinstatus,Schmerztherapie (WHO II),1 „ja“,387494007,Codeine (substance),No map is possible,,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
138,605,02-03-02,02 Allgemeinstatus,Schmerztherapie (WHO II),1 „ja“,no map,NA,No map is possible,,No map is possible,No map is possible,TRUE,1,2
140,9f6,02-03-03,02 Allgemeinstatus,Schmerztherapie (WHO III),1 „ja“,373492002,Fentanyl (substance),No map is possible,2,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
140,83f,02-03-03,02 Allgemeinstatus,Schmerztherapie (WHO III),1 „ja“,373699000,Morphinan opioid (substance),No map is possible,,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
140,605,02-03-03,02 Allgemeinstatus,Schmerztherapie (WHO III),1 „ja“,no map,NA,No map is possible,,No map is possible,No map is possible,TRUE,1,2
142,83f,02-03-04,02 Allgemeinstatus,Antibiotikatherapie,1 „ja“,281789004,Antibiotic therapy (procedure),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
142,605,02-03-04,02 Allgemeinstatus,Antibiotikatherapie,1 „ja“,281789004,Antibiotic therapy (procedure),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
142,9f6,02-03-04,02 Allgemeinstatus,Antibiotikatherapie,1 „ja“,281789004,Antibiotic therapy (procedure),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
144,83f,02-03-05,02 Allgemeinstatus,Immunsuppressiva,1 „ja“,86553008,Immunosuppressive therapy (procedure),"Equivalence of meaning, but with synonymy.",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
144,9f6,02-03-05,02 Allgemeinstatus,Immunsuppressiva,1 „ja“,372823004,Immunosuppressant (substance),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning, but with synonymy.",FALSE,1,2
144,605,02-03-05,02 Allgemeinstatus,Immunsuppressiva,1 „ja“,86553008,Immunosuppressive therapy (procedure),"Equivalence of meaning, but with synonymy.",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
146,83f,02-03-06,02 Allgemeinstatus,Antikoagulanzien,1 „ja“,182764009,Anticoagulant therapy (procedure),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
146,605,02-03-06,02 Allgemeinstatus,Antikoagulanzien,1 „ja“,182764009,Anticoagulant therapy (procedure),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
146,9f6,02-03-06,02 Allgemeinstatus,Antikoagulanzien,1 „ja“,372862008,Anticoagulant (substance),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning, but with synonymy.",FALSE,1,2
148,83f,02-03-07,02 Allgemeinstatus,Diuretika,1 „ja“,722048006,Diuretic therapy (procedure),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
148,605,02-03-07,02 Allgemeinstatus,Diuretika,1 „ja“,722048006,Diuretic therapy (procedure),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
148,9f6,02-03-07,02 Allgemeinstatus,Diuretika,1 „ja“,372695000,Diuretic (substance),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning, but with synonymy.",FALSE,1,2
149,83f,02-04,02 Allgemeinstatus,Ernährungsstatus,1 „über“,414915002,Obese (finding),Source concept is broader and has a less specific meaning than the target concept,,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,TRUE,1,2
149,605,02-04,02 Allgemeinstatus,Ernährungsstatus,1 „über“,238131007,Overweight (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
149,9f6,02-04,02 Allgemeinstatus,Ernährungsstatus,1 „über“,238131007,Overweight (finding),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
150,83f,02-04,02 Allgemeinstatus,Ernährungsstatus,2 „unter“,238108007,Cachexia (finding),Source concept is broader and has a less specific meaning than the target concept,,"Equivalence of meaning, but with synonymy.",Source concept is broader and has a less specific meaning than the target concept,FALSE,1,2
150,605,02-04,02 Allgemeinstatus,Ernährungsstatus,2 „unter“,248342006,Underweight (finding),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
150,9f6,02-04,02 Allgemeinstatus,Ernährungsstatus,2 „unter“,248342006,Underweight (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
151,605,02-04,02 Allgemeinstatus,Ernährungsstatus,3 „normal“,43664005,Normal weight (finding),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
151,83f,02-04,02 Allgemeinstatus,Ernährungsstatus,3 „normal“,43664005,Normal weight (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
151,9f6,02-04,02 Allgemeinstatus,Ernährungsstatus,3 „normal“,43664005,Normal weight (finding),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
152,9f6,02-04,02 Allgemeinstatus,Ernährungsstatus,Ernährungsstatus,87276001,Nutritional status (observable entity),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
152,83f,02-04,02 Allgemeinstatus,Ernährungsstatus,Ernährungsstatus,87276001,Nutritional status (observable entity),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,2
152,605,02-04,02 Allgemeinstatus,Ernährungsstatus,Ernährungsstatus,364393001,Nutritional observable (observable entity),Source concept is narrower and has a more specific meaning than the target concept,,Source concept is narrower and has a more specific meaning than the target concept,"Equivalence of meaning, but with synonymy.",FALSE,1,2
153,83f,03-01,03 Wundanamnese,Wundanzahl,-,264893008,Number of ulcers (observable entity),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,3
153,9f6,03-01,03 Wundanamnese,Wundanzahl,-,410681005,Count of entities (property) (qualifier value),No map is possible,,No map is possible,Source concept is narrower and has a more specific meaning than the target concept,FALSE,1,3
153,605,03-01,03 Wundanamnese,Wundanzahl,-,264893008,Number of ulcers (observable entity),"Equivalence of meaning; lexical, as well as conceptual",,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,3
154,9f6,03-02,03 Wundanamnese,Wundart,1 „Ulcus cruris venosum“,402863005,Venous stasis ulcer of leg (disorder),"Equivalence of meaning; lexical, as well as conceptual",1,"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",TRUE,1,3
154,83f,03-02,03 Wundanamnese,Wundart,1 „Ulcus cruris venosum“,41915009,Stasis ulcer (morphologic abnormality),No map is possible,,No map is possible,"Equivalence of meaning, but with synonymy.",FALSE,1,3
